thread_name,process_name,upid,utid,cpu,ts,dur,end_state
swapper,,0,0,1,261336973486037,107788,R
logd.writer,/system/bin/logd,295,3,1,261336973593825,58106,S
swapper,,0,0,1,261336973651931,686808,R
binder:912_3,/apex/com.google.pixel.wifi.ext/bin/hw/vendor.google.wifi_ext-service-vendor,481,5,5,261336974078119,1324097,R+
decon0_kthread,decon0_kthread,191,6,1,261336974338739,415161,D
logd.writer,/system/bin/logd,295,3,3,261336974570998,92407,S
surfaceflinger,/system/bin/surfaceflinger,313,10,6,261336974586338,352173,S
swapper,,0,0,2,261336974654169,416219,R
surfaceflinger,/system/bin/surfaceflinger,313,7,3,261336974663405,36988,S
swapper,,0,0,3,261336974700393,192342,R
cw-deep-buffer-,/vendor/bin/hw/android.hardware.audio.service-aidl.aoc,447,11,1,261336974753900,275920,S
BckgrndExec HP,/system/bin/surfaceflinger,313,1,3,261336974892735,225748,S
android.hardwar,/vendor/bin/hw/android.hardware.power-service.pixel-libperfmgr,355,12,6,261336974938511,201620,S
AudioOut_15,/system/bin/audioserver,482,13,1,261336975029820,546468,S
binder:23019_7,com.google.android.youtube,701,14,2,261336975070388,356771,S
swapper,,0,0,3,261336975118483,260987,R
swapper,,0,0,6,261336975140131,7158569,R
traced_probes,/system/bin/traced_probes,496,16,0,261336975218052,18384725,R
CodecLooper,com.google.android.youtube,701,5225,3,261336975379470,56478,S
swapper,,0,0,7,261336975379999,52612,R
migration/5,migration/5,45,61,5,261336975402216,40893,S
swapper,,0,0,2,261336975427159,2317993,R
binder:912_3,/apex/com.google.pixel.wifi.ext/bin/hw/vendor.google.wifi_ext-service-vendor,481,5,7,261336975432611,468099,D
swapper,,0,0,3,261336975435948,1728719,R
swapper,,0,0,5,261336975443109,18216024,R
cw-deep-buffer-,/vendor/bin/hw/android.hardware.audio.service-aidl.aoc,447,11,1,261336975576288,124878,S
swapper,,0,0,1,261336975701166,930542,R
swapper,,0,0,7,261336975900710,19323771,R
bigo_worker_thr,bigo_worker_thread,756,766,1,261336976631708,293131,D
DecodeLoop,/vendor/bin/hw/google.hardware.media.c2@2.0-service,468,1056,1,261336976924839,842041,S
dhd_logtrace_th,dhd_logtrace_thread,494,507,3,261336977164667,266154,D
swapper,,0,0,3,261336977430821,4155070,R
binder:23019_7,com.google.android.youtube,701,14,2,261336977745152,262614,S
dhd_logtrace_th,dhd_logtrace_thread,494,507,1,261336977766880,130168,D
swapper,,0,0,1,261336977897048,1059936,R
DecodeLoop,/vendor/bin/hw/google.hardware.media.c2@2.0-service,468,1056,2,261336978007766,252929,S
swapper,,0,0,2,261336978260695,4115235,R
dhd_logtrace_th,dhd_logtrace_thread,494,507,1,261336978956984,412435,S
swapper,,0,0,1,261336979369419,1316447,R
binder:912_3,/apex/com.google.pixel.wifi.ext/bin/hw/vendor.google.wifi_ext-service-vendor,481,5,1,261336980685866,368815,D
swapper,,0,0,1,261336981054681,562907,R
perf_mon_update,perf_mon_update_client_task,97,113,3,261336981585891,230957,S
sugov:0,sugov:0,301,316,1,261336981617588,51921,S
swapper,,0,0,1,261336981669509,657715,R
swapper,,0,0,3,261336981816848,128458,R
ExoPlayer:Playb,com.google.android.youtube,701,5124,3,261336981945306,433757,S
MediaCodec_loop,com.google.android.youtube,701,5238,6,261336982298700,29785,S
sugov:4,sugov:4,302,317,1,261336982327224,73364,S
swapper,,0,0,6,261336982328485,4012085,R
MediaCodec_loop,com.google.android.youtube,701,5238,2,261336982375930,821289,S
swapper,,0,0,3,261336982379063,791056,R
swapper,,0,0,1,261336982400588,625488,R
binder:477_4,/system/bin/surfaceflinger,313,831,1,261336983026076,282105,S
ExoPlayer:Playb,com.google.android.youtube,701,5124,3,261336983170119,67302,S
swapper,,0,0,2,261336983197219,41260,R
swapper,,0,0,3,261336983237421,58593,R
MediaCodec_loop,com.google.android.youtube,701,5238,2,261336983238479,60668,S
ExoPlayer:Playb,com.google.android.youtube,701,5124,3,261336983296014,119751,S
swapper,,0,0,2,261336983299147,116496,R
swapper,,0,0,1,261336983308181,2295288,R
MediaCodec_loop,com.google.android.youtube,701,5238,2,261336983415643,35441,S
swapper,,0,0,3,261336983415765,32878,R
ExoPlayer:Playb,com.google.android.youtube,701,5124,3,261336983448643,207194,S
swapper,,0,0,2,261336983451084,136638,R
ExoPlayer:Simpl,com.google.android.youtube,701,5240,2,261336983587722,1024658,S
swapper,,0,0,3,261336983655837,5799194,R
swapper,,0,0,2,261336984612380,4862712,R
simpleinteracti,simpleinteractive,152,168,1,261336985603469,76253,S
swapper,,0,0,1,261336985679722,286784,R
binder:912_3,/apex/com.google.pixel.wifi.ext/bin/hw/vendor.google.wifi_ext-service-vendor,481,5,1,261336985966506,375203,D
ksoftirqd/6,ksoftirqd/6,51,67,6,261336986340570,408651,S
swapper,,0,0,1,261336986341709,52531,R
decon0_kthread,decon0_kthread,191,6,1,261336986394240,55176,D
swapper,,0,0,1,261336986449416,396362,R
swapper,,0,0,6,261336986749221,2926229,R
kworker/u16:9,kworker/u16:9,682,693,1,261336986845778,48828,I
swapper,,0,0,1,261336986894606,1754314,R
NodeLooperThrea,/vendor/bin/hw/android.hardware.power-service.pixel-libperfmgr,355,877,1,261336988648920,801432,S
swapper,,0,0,1,261336989450352,128174,R
decon0_kthread,decon0_kthread,191,6,3,261336989455031,119019,S
DecodeLoop,/vendor/bin/hw/google.hardware.media.c2@2.0-service,468,1056,2,261336989475092,292399,D
swapper,,0,0,3,261336989574050,368205,R
TimerDispatch,/system/bin/surfaceflinger,313,821,1,261336989578526,111206,S
surfaceflinger,/system/bin/surfaceflinger,313,10,6,261336989675450,493611,S
swapper,,0,0,1,261336989689732,79223,R
swapper,,0,0,2,261336989767491,1017740,R
bigo_worker_thr,bigo_worker_thread,756,766,1,261336989768955,180827,D
BckgrndExec HP,/system/bin/surfaceflinger,313,1,3,261336989942255,34912,S
swapper,,0,0,1,261336989949782,850993,R
swapper,,0,0,3,261336989977167,637451,R
binder:479_5,/vendor/bin/hw/android.hardware.composer.hwc3-service.pixel,315,4,6,261336990169061,716919,S
decon0_kthread,decon0_kthread,191,6,3,261336990614618,245890,D
logd.writer,/system/bin/logd,295,3,2,261336990785231,76783,S
VrrCtrl_Primary,/vendor/bin/hw/android.hardware.composer.hwc3-service.pixel,315,8,1,261336990800775,43742,S
swapper,,0,0,1,261336990844517,190592,R
swapper,,0,0,3,261336990860508,239217,R
swapper,,0,0,2,261336990862014,368123,R
surfaceflinger,/system/bin/surfaceflinger,313,10,6,261336990885980,280925,S
android.hardwar,/vendor/bin/hw/android.hardware.power-service.pixel-libperfmgr,355,12,1,261336991035109,169556,S
BckgrndExec HP,/system/bin/surfaceflinger,313,1,3,261336991099725,157674,S
ksoftirqd/6,ksoftirqd/6,51,67,6,261336991166905,1205810,S
swapper,,0,0,1,261336991204665,249837,R
binder:23019_7,com.google.android.youtube,701,14,2,261336991230137,281169,S
swapper,,0,0,3,261336991257399,281088,R
binder:23019_4,com.google.android.youtube,701,5138,1,261336991454502,91350,S
swapper,,0,0,2,261336991511306,421142,R
